id;isHead;sHeadDate;sGHeadDate;sTotal;sTarget;isTarget;isNotOnlyTarget;cDaysBetween;isSameDay;isLater;isEarlier;cBus;cEmpl;cCust;isSameOrNever;isLaterOrNever;sGS;sG;sT;sS;isRep;isBF;cSMen;cAMen;dFirstSale;cWorkMonth;cSaleMonth;isServer;isBUCorp;is50lic;isEGG;isBuh;isZUP;isKPR;isUT;isBS;isAnyBuh;isBTOR;isService;isLicense;isPOS
275547;1;3300;3300;12525;0;0;0;0;0;0;0;2;1;1;1;1;3300;3300;0;0;1;0;1;1;42464;3;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0
875237;1;13000;13000;22888;0;0;0;0;0;0;0;2;16;1;1;1;13000;13000;0;0;0;0;2;2;42453;7;7;0;0;0;0;1;0;0;0;0;1;0;0;0;0
875248;1;13000;13000;22888;17400;1;1;0;1;0;0;2;12;1;1;0;13000;13000;0;0;0;0;2;2;42453;7;7;0;0;0;0;1;1;0;0;0;1;0;0;0;0
875238;1;13000;13000;22888;0;0;0;0;0;0;0;2;13;1;1;1;13000;13000;0;0;0;0;2;2;42453;7;7;0;0;0;0;1;0;0;0;0;1;0;0;0;0
875246;1;13000;13000;22888;0;0;0;0;0;0;0;2;12;1;1;1;13000;13000;0;0;0;0;2;2;42453;7;7;0;0;0;0;1;0;0;0;0;1;0;0;0;0
875239;1;13000;13000;22888;0;0;0;0;0;0;0;2;15;1;1;1;13000;13000;0;0;0;0;2;2;42453;7;7;0;0;0;0;1;0;0;0;0;1;0;0;0;0
875240;1;13000;13000;22888;17400;1;1;0;1;0;0;2;17;1;1;0;13000;13000;0;0;0;0;2;2;42453;7;7;0;0;0;0;1;1;0;0;0;1;0;0;0;0
875241;1;13000;13000;22888;0;0;0;0;0;0;0;2;14;1;1;1;13000;13000;0;0;0;0;2;2;42453;7;7;0;0;0;0;1;0;0;0;0;1;0;0;0;0
875242;1;13000;13000;22888;0;0;0;0;0;0;0;2;15;1;1;1;13000;13000;0;0;0;0;2;2;42453;7;7;0;0;0;0;1;0;0;0;0;1;0;0;0;0
1111076;1;3300;3300;3300;0;0;0;0;0;0;0;1;3;1;1;1;3300;3300;0;0;0;0;1;2;42465;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
1073845;1;3300;3300;11200;0;0;0;0;0;0;0;2;4;1;1;1;3300;3300;0;0;1;0;2;2;42440;2;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0
987156;1;9850;9850;19738;0;0;0;0;0;0;0;2;10;1;1;1;9850;9850;0;0;0;0;1;2;42465;6;6;0;0;0;0;1;0;0;0;0;1;0;0;0;0
1008805;1;3300;3300;25608;0;0;0;0;0;0;0;3;30;1;1;1;8280;3300;0;4980;0;0;2;4;42419;3;2;0;0;0;0;1;0;0;0;0;1;0;1;0;0
1111037;1;26000;26000;44175;17400;1;1;113;0;1;0;2;7;1;0;1;26000;26000;0;0;0;0;3;3;42474;7;7;0;0;0;0;1;1;0;0;0;1;0;0;0;0
986847;1;13000;13000;29188;0;0;0;0;0;0;0;2;10;1;1;1;19300;19300;0;0;0;0;1;1;42439;7;7;0;0;0;0;1;0;0;0;0;1;0;0;1;0
613480;1;13000;13000;13000;0;0;0;0;0;0;0;1;6;1;1;1;13000;13000;0;0;0;0;1;0;42465;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
454882;1;7900;7900;7900;0;0;0;0;0;0;0;1;70;1;1;1;7900;7900;0;0;0;0;1;2;42465;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0
613470;1;3300;3300;3300;0;0;0;0;0;0;0;1;1;1;1;1;3300;3300;0;0;0;0;1;0;42465;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
1023576;1;3300;3300;11200;0;0;0;0;0;0;0;2;0;1;1;1;3300;3300;0;0;1;0;1;1;42465;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613446;1;1650;1650;1650;0;0;0;0;0;0;0;1;1;1;1;1;1650;1650;0;0;0;0;1;0;42465;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
824569;1;13150;13150;30118;0;0;0;0;0;0;0;2;10;1;1;1;13150;13150;0;0;1;0;1;2;42450;7;7;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613469;1;1650;1650;1650;0;0;0;0;0;0;0;1;6;1;1;1;1650;1650;0;0;0;0;1;0;42465;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613490;1;3300;3300;3300;0;0;0;0;0;0;0;1;1;1;1;1;3300;3300;0;0;0;0;1;0;42465;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613414;1;11690;3300;11690;0;0;0;0;0;0;0;2;3;1;1;1;3300;3300;0;0;1;0;1;1;42465;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613456;1;1650;1650;1650;0;0;0;0;0;0;0;1;2;1;1;1;1650;1650;0;0;0;0;1;1;42465;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
93618;1;140800;140800;272850;17400;1;1;0;1;0;0;4;120;1;1;0;262810;140800;0;122010;0;0;5;2;42440;7;7;1;0;0;0;1;1;0;0;0;1;0;1;1;0
986919;1;3300;3300;13500;0;0;0;0;0;0;0;3;1;1;1;1;8700;3300;0;5400;0;0;2;2;42443;7;6;0;0;0;0;1;0;0;0;0;1;0;1;0;0
613508;1;4200;3300;4200;0;0;0;0;0;0;0;2;2;1;1;1;3300;3300;0;0;0;0;1;1;42466;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
1111046;1;25600;25600;36016;0;0;0;0;0;0;0;2;10;1;1;1;25600;25600;0;0;0;0;3;3;42466;6;4;0;0;0;0;1;0;0;0;0;1;0;0;1;0
613515;1;1650;1650;1650;0;0;0;0;0;0;0;1;1;1;1;1;1650;1650;0;0;0;0;1;1;42466;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613520;1;1650;1650;1650;0;0;0;0;0;0;0;1;0;1;1;1;1650;1650;0;0;0;0;1;1;42466;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613489;1;1650;1650;1650;0;0;0;0;0;0;0;1;0;1;1;1;1650;1650;0;0;0;0;1;1;42466;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613488;1;1650;1650;1650;0;0;0;0;0;0;0;1;1;1;1;1;1650;1650;0;0;0;0;1;0;42467;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
613529;1;1650;1650;1650;0;0;0;0;0;0;0;1;1;1;1;1;1650;1650;0;0;0;0;1;0;42467;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
932041;1;3300;3300;11200;0;0;0;0;0;0;0;2;0;1;1;1;3300;3300;0;0;1;0;1;1;42467;3;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0
